tname,title,view,like,danmaku,share,coin
搞笑,【底层社恐幼师的一天】屎到淋头了…到此为止了…人生,2553969,392470,2773,38480,38480
人文历史,王国士兵的餐桌——奥斯曼帝国篇,282999,19344,1202,550,550
科学科普,豆腐和米饭上的奇怪霉菌是须霉,505556,71380,756,1099,1099
时尚潮流,与其等待别人多看我一眼多爱我一点 不如当下把自己变足够优秀,1636859,279498,2059,1132,1132
美食制作,店里卖899一份的招牌菜，自己在家做，居然只花了…,1824232,146841,3264,1885,1885
手机游戏,现版本，你甚至可以看到百战水门秒人,440916,31617,321,2016,2016
美食侦探,中东醋王VS贵州酸汤火锅!我宣布，这就是我的本命火锅!,235026,20370,2274,515,515
田园美食,刚把鱼敲晕，客人就说不要了，转身就走,2859892,139415,852,491,491
影视杂谈,【HP】盘点《哈利波特与凤凰社》原著中没有被电影还原的剧情细节！（上）,807716,27537,2141,924,924
短片·手书,【轰】对不起，我不是故意要超度你的…,97431,17811,321,58,58
新能源车,"定价￥700,000瞬间售罄！中国越野车的春天来了？深扒坦克700Hi4-T背后的技术秘密【镖技术·坦克】",376025,22379,474,296,296
科学科普,手搓膛线,897617,38787,143,1092,1092
短片·手书,控制中枢彩六攻防战,226065,22705,293,872,872
运动综合,油锅面前众生平等,1398626,61406,551,268,268
鬼畜剧场,【最强唐僧3】三葬除三害！,1378573,75603,1301,12392,12392
汪星人,社牛小狗被拴半个月，彻底服从了，遛狗时超开心！,339007,21641,791,244,244
影视杂谈,这开局太炸裂了！当神级反派提前看了剧本，漫威重启巨制《终极入侵》有多好看？,1172237,136674,1458,1773,1773
影视剪辑,“她似乎不怎么明白，我有多爱她”用22分钟展现直树爱湘琴的证明，直树真的很爱很爱湘琴！只是性格使然他不善于表达，他一直都是只做不说◎恶作剧之吻丨直树x湘琴,221545,11701,622,1980,1980
短片·手书,花火：重力！凶手是重力！,189914,24824,202,261,261
短片·手书,国服玩家彻底破坏迷宫生态【迷宫饭】,224810,19360,243,1407,1407
搞笑,自以为是的男人,281247,32152,1277,808,808
搞笑,继子：我养了个继爸...【包浆视频】,182127,15022,994,220,220
数码,这样的房间你能呆多久？胶佬电竞房大变身！,95528,8022,487,455,455
日常,提“消费观”，那就是“控制欲”的……遮羞布！,719462,127562,808,1300,1300
明星舞蹈,溢出屏幕的元气生命力！???>?< ??,334685,26699,140,1516,1516
日常,三八节特辑：女性一生会听到多少种噪音,123863,5208,364,688,688
搞笑,终于到了头上 长摄像头的年龄了【恶作剧248】,262713,46217,1740,588,588
三农,来猴哥新房看看，屋后邻居也建好围墙，独家独院挺好的,172353,14098,960,70,70
美食记录,摊牌了我是厨子,320968,17387,721,415,415
网络游戏,“我看你号也没玩过乌鸦啊，器灵？”共享账号挑战高手组S14！#9,310617,14136,686,182,182
日常,英姿飒爽“女箭客”前一秒轻松嬉笑，张弓搭箭后眼神瞬间变犀利，蓄势一击正中靶心,1924073,130981,233,572,572
社科·法律·心理,【小季说】为什么邪教徒敢集体自杀？邪教都是怎么给信徒们打下思想钢印的？,371469,17420,672,392,392
科学科普,【细思极恐】英国一科学家用实验来证明我们的世界是虚拟的，他成功了吗？,286701,10754,2165,782,782
动漫杂谈,九年前火爆全网的番！竟有未播隐藏结局？一口气回顾《夏洛特Charlotte》,381613,30113,993,819,819
美食记录,190买三根牛舌，胖龙做爆炒牛舌粉，晚上饿了不能看,279512,13471,1235,260,260
小剧场,快乐教学！,1499670,148876,2705,1492,1492
计算机技术,王炸！全网最全AI生成视频教程，绅士必备的一键启动包！,797709,46218,841,4287,4287
电子竞技,一年直播名场面！总有一波笑到你！看看有几波在现场！,425097,28218,290,814,814
出行,从现在起 每一次勇敢 我都要这样欢呼,737175,82992,510,652,652
美食侦探,简简单单吃肉,752464,120017,1432,2453,2453
美食记录,三健客终于来吃自助啦，狠狠让老板亏本一回,757536,29729,1591,1608,1608
搞笑,《 矿 泉 水 加 热 器 》,1128410,75784,2131,895,895
